;chicken_id;weight;breed;eggs_per_year
0;1;2728.85492;New Hampshire Red;158
1;2;2323.761365;Australorp;273
2;3;2635.062034;New Hampshire Red;153
3;4;2603.985152;Plymouth Rock;268
4;5;3079.394487;Australorp;360
5;6;2250.163583;Barnevelder;317
6;7;2648.364847;Plymouth Rock;158
7;8;2371.107826;New Hampshire Red;275
8;9;2224.379423;Barnevelder;169
9;10;2577.250189;Plymouth Rock;340
10;11;2378.704263;Barnevelder;161
11;12;2398.090868;Australorp;185
12;13;2516.444882;New Hampshire Red;240
13;14;2043.583869;Australorp;257
14;15;2614.45747;Barnevelder;361
15;16;2215.240905;Barnevelder;266
16;17;2412.76114;Plymouth Rock;325
17;18;2428.209011;Barnevelder;319
18;19;2572.909543;Barnevelder;184
19;20;2795.808134;Australorp;346
20;21;2036.171598;Plymouth Rock;262
21;22;2495.966012;New Hampshire Red;246
22;23;2214.676027;ISA Brown;299
23;24;2327.213965;ISA Brown;210
24;25;2803.283291;Plymouth Rock;199
