Skigebiet,Saisonkarte_Erwachsene,Saisonkarte_Kinder,Tageskarte_Erwachsene,Tageskarte_Kinder,Online_Kaufen
Adelboden,1110.0,475.0,,,
Aeschi - Aeschiried,260.0,160.0,33.0,23.0,
Airolo,1130.0,495.0,,,
Amden - Arvenbüel,390.0,260.0,35.0,22.0,
Andermatt,1119.0,559.0,89.0,45.0,
Anzère,899.0,399.0,63.0,38.0,
Arolla,899.0,399.0,40.0,,
Arosa Lenzerheide,1550.0,545.0,89.0,29.0,
Atzmännig Goldingen,390.0,249.0,35.0,25.0,
Avers,315.0,190.0,32.0,20.0,
Beatenberg,330.0,165.0,56.0,28.0,
Beckenried - Klewenalp,650.0,325.0,51.0,25.0,
Belalp - Blatten - Naters,789.0,395.0,69.0,35.0,
Bellwald,643.0,450.0,,,
Bergün - Filisur,500.0,300.0,43.0,25.0,
Bivio,420.0,210.0,43.0,22.0,
Boltigen - Jaunpass,340.0,220.0,34.0,22.0,
Bosco Gurin,700.0,350.0,50.0,25.0,
Braunwald,600.0,300.0,49.0,25.0,
Brienz Axalp,410.0,231.0,49.0,27.0,
Brigels - Breil,1045.0,480.0,,,
Brunni - Alpthal - Einsiedeln - Mythen,342.0,225.0,41.0,16.0,
Bruson - Val de Bagnes,1449.0,500.0,52.0,26.0,
Bugnenets - Savagnières,450.0,282.0,42.0,23.0,
Bulle - La Chia,150.0,100.0,20.0,15.0,
Bumbach Schangnau,549.0,299.0,35.0,25.0,
Cari,640.0,320.0,43.0,27.0,
Champex - Lac,99.0,99.0,43.0,28.0,
Champéry,1027.0,,72.0,54.0,
Chandolin,549.0,299.0,65.0,39.0,
Charmey - Vounetse,899.0,399.0,41.0,25.0,
Chur,666.0,666.0,42.0,21.0,
Château d'Oex - La Braye,99.0,63.0,36.0,25.0,
Chäserrugg - Toggenburg,695.0,345.0,58.0,26.0,
Corvatsch - Sils - Silvaplana,1220.0,406.0,74.5,24.5,
Crans Montana,1189.0,599.0,56.0,31.0,
Dallenwil - Wirzweli,350.0,120.0,31.0,12.0,
Davos Klosters,1550.0,545.0,89.0,36.0,
Degersheim,320.0,230.0,30.0,24.0,
Diavolezza - Lagalb - Pontresina,1.0,406.0,82.5,27.0,
Diemtigtal - Grimmialp,400.0,240.0,39.0,26.0,
Diemtigtal - Springenboden,540.0,365.0,28.0,22.0,
Diemtigtal - Wiriehorn,490.0,330.0,48.0,31.0,
Disentis 3000,1119.0,559.0,64.0,32.0,
Ebenalp - Appenzellerland,400.0,250.0,35.0,25.0,
Ebnat - Kappel,320.0,220.0,30.0,24.0,
Eischoll,520.0,364.0,46.0,31.0,
Elm,580.0,290.0,49.0,25.0,
Engelberg,845.0,340.0,69.0,23.0,
Eriz,340.0,230.0,33.0,23.0,
Evolène,899.0,399.0,42.0,27.0,
Fideriser Heuberge,345.0,245.0,42.0,28.0,
Flims Laax Falera,1550.0,545.0,89.0,39.7,
Flumserberg - Heidiland,969.0,485.0,68.0,34.0,
Frutigen - Elsigen - Metsch,740.0,355.0,56.0,31.0,
Giswil - Mörlialp,358.0,155.0,42.0,24.0,
Glacier 3000,549.0,299.0,84.0,55.0,
Grimentz-Zinal,899.0,399.0,72.0,43.0,
Grindelwald - Wengen - Jungfrau Ski Region,1100.0,475.0,79.0,38.0,
Grächen,665.0,403.0,69.0,38.0,
Grüsch-Danusa,695.0,345.0,55.0,27.0,
Gstaad,1110.0,475.0,,,
Gstaad - Saanen - Rougemont,625.0,260.0,65.0,35.0,
Gstaad - Saanenmöser - Schönried - Zweisimmen,625.0,260.0,65.0,35.0,
Gurnigelbad - Gantrisch - Wasserscheide,315.0,210.0,36.0,23.0,
Habkern,250.0,130.0,35.0,24.0,
Heiden - Bischofsberg - Grub - Oberegg,260.0,170.0,24.0,16.0,
Hemberg - Bächli,250.0,180.0,25.0,20.0,
Hoch-Ybrig,740.0,360.0,57.0,30.0,
Jakobsbad - Kronberg,250.0,125.0,27.0,13.5,
Jaun,540.0,240.0,41.0,26.0,
Kandersteg,400.0,190.0,44.0,31.0,
Kiental,280.0,175.0,34.0,22.0,
La Berra - La Roche,899.0,399.0,39.0,25.0,
La Fouly - Pays du St. Bernard,99.0,,43.0,28.0,
La Punt - Chamues-ch,1860.0,630.0,,,
La Robella,300.0,200.0,24.0,18.0,
La Tzoumaz - Savoleyres,11449.0,500.0,55.5,28.0,
Le Brassus - Vallée de Joux,310.0,170.0,27.0,17.0,
Lenk,1110.0,475.0,50.0,20.0,
Les Crosets - Champoussin - Val-d'Illiez,1027.0,,72.0,54.0,
Les Diablerets,899.0,399.0,69.0,47.0,
Les Marécottes - Salvan - La Creusaz,899.0,399.0,45.0,25.0,
Les Paccots - Rathvel,500.0,300.0,39.0,27.0,
Les Pléiades,350.0,180.0,35.0,18.0,
Les Prés d'Orvin,450.0,200.0,25.0,13.0,
Leysin - Les Mosses - La Lécherette,899.0,399.0,68.0,44.0,
